longitude,latitude
-116.75119,39.25021
-94.06703,44.03459
-161.00056,66.83333
-13.11667,8.33333
-71.49978,41.75038
-75.4999,43.00035
-118.49854,45.99696
-120.50139,44.00013
120,-5
122,13
-152.66861,57.68222
-98.5,39.76
105,35
-169.05,65.75
-91.74555,35.25627
-150.00028,64.00028
0,5.75
-3.58562,35.12985
-84.29376,35.96391
-161.00056,66.83333
-75.4999,43.00035
-98.5,39.76
26,64
-64.5,18.5
-98.5,39.76
-119.75126,37.25022
-123.77886,46.55128
147,-6
-76.46965,37.08339
-175,60
105,35
-75.4999,43.00035
-161.00056,66.83333
-98.5,39.76
-96.17418,42.78102
-76.08299,37.03348
-73.67596,40.70732
-96.17418,42.78102
127.75,36.5
-70.66667,19
144.74547,13.47682
-117.15726,32.71533
-69.24977,45.50032
-98.5,39.76
-98.5,39.76
135,-25
5.68618,43.73788
-94.06703,44.03459
-119.75126,37.25022
-120.03078,34.53834
-98.5,39.76
-161.00056,66.83333
-50.9211,-27.18677
-81.78163,24.55524
-98.5,39.76
-76.8821,18.3485
-114.38864,33.93172
-125.0032,53.99983
-161.00056,66.83333
-161.00056,66.83333
144.74547,13.47682
-161.00056,66.83333
-6.24889,53.33306
-82.5001,28.75054
-98.5,39.76
-150.00028,64.00028
-102,23
-76.90567,40.27245
2.3608,48.8665
-85,13
-113.64258,60.10867
-106.00085,34.50034
-70.22186,-1.65596
52.33333,36.25
-109.75102,47.00025
-74.63373,39.46883
-121.4944,38.58157
7.19091,44.95744
-96.17418,42.78102
-150.00028,64.00028
-90.09761,38.86116
-70.66667,19
-173.54194,52.09
-98.5,39.76
-98.5,39.76
-119.75126,37.25022
-98.5,39.76
-98.5,39.76
-74.63373,39.46883
-74.63373,39.46883
-74.63373,39.46883
-94.06703,44.03459
-98.5,39.76
-92.94601,34.31763
-98.5,39.76
-119.75126,37.25022
-161.00056,66.83333
-85.26101,29.90862
-161.00056,66.83333
151.65,-30.51667
72,-6
-150.00028,64.00028
-101.75094,50.4167
-175,60
-119.75126,37.25022
174,-42
10.5,51.5
-161.00056,66.83333
-94.06703,44.03459
-98.5,39.76
-103.46763,53.13336
-121.4944,38.58157
-94.06703,44.03459
10.5,51.5
-161.00056,66.83333
-150.00028,64.00028
31.04753,30.03446
107.83333,16.16667
-98.5,39.76
2.90314,39.58876
-91.33295,45.92662
-83.50877,35.60065
-150.00028,64.00028
-98.5,39.76
28.38867,51.72703
-67.04657,17.97497
147,-6
-120.50147,47.50012
135,-25
-81.00009,34.00043
-119.75126,37.25022
-103.1101,40.72468
-94.06703,44.03459
-98.5,39.76
-75.4999,43.00035
-98.5,39.76
-119.75126,37.25022
69.17233,34.52813
-120.50147,47.50012
-94.06703,44.03459
-2.69531,54.75844
-80.422,37.22013
151.65,-30.51667
-98.5,39.76
35.18449,32.1065
-98.5,39.76
112.5,2.5
-98.5,39.76
-150.00028,64.00028
-83.66624,32.45901
-76.8821,18.3485
132.33521,42.87881
4.88969,52.37403
-89.12006,32.40181
-102,23
21,7
-161.00056,66.83333
-75.4999,43.00035
21,7
-98.5,39.76
-122.4425,37.77823
-161.00056,66.83333
-71.76667,19.21667
39.38599,43.85037
-98.5,39.76
-175,60
-3.3969,37.095
10.5,51.5
-98.5,39.76
-123.77886,46.55128
-94.97848,32.97322
-94.06703,44.03459
-3.58562,35.12985
-98.5,39.76
23.5,-2.5
-113.64258,60.10867
135,-25
-94.06703,44.03459
-98.5,39.76
-96.17418,42.78102
-98.5,39.76
23.5,-2.5
-161.00056,66.83333
23.5,-2.5
-122.4425,37.77823
78.78449,29.4778
